asset_id,year,revenue,ebitda,noi,operating_cash_flow,maintenance_capex,estimated_affo,estimated_distribution,total_assets,total_debt,debt_ratio,capex_to_ocf,data_type,source_note,source_name,source_url,source_year,verification_status,last_verified_date
A_HUANGSHAN,2023,1929441918.97,620,540,722893531.77,80,420,360,5654288820.01,962572023.91,0.17023750546727423,0.16,mixed,"Selected financial fields are from public financial data; NOI, AFFO, distribution, and maintenance CAPEX may remain estimated for portfolio prototype.",AKShare Sina financial statement interface,https://akshare.akfamily.xyz/,2023,verified,2026-06-25
A_HUANGSHAN,2024,1931131905.5,690,600,521663003.98,85,470,400,5732301996.17,873235828.7,0.15233597763750878,0.15,mixed,"Selected financial fields are from public financial data; NOI, AFFO, distribution, and maintenance CAPEX may remain estimated for portfolio prototype.",AKShare Sina financial statement interface,https://akshare.akfamily.xyz/,2024,verified,2026-06-25
A_TIANMU,2023,629889317.51,365,310,315821380.13,45,240,205,1740232880.56,291846322.92,0.16770532621248085,0.16,mixed,"Selected financial fields are from public financial data; NOI, AFFO, distribution, and maintenance CAPEX may remain estimated for portfolio prototype.",AKShare Sina financial statement interface,https://akshare.akfamily.xyz/,2023,verified,2026-06-25
A_TIANMU,2024,536204952.43,410,350,192051380.11,50,275,235,1781654461.9,314222614.22,0.17636563146195325,0.15,mixed,"Selected financial fields are from public financial data; NOI, AFFO, distribution, and maintenance CAPEX may remain estimated for portfolio prototype.",AKShare Sina financial statement interface,https://akshare.akfamily.xyz/,2024,verified,2026-06-25
A_BTG_HOTELS,2023,7792924439.0,1280,980,4013777901.35,210,690,585,25240145119.98,13967224014.58,0.5533733640668967,0.23,mixed,"Selected financial fields are from public financial data; NOI, AFFO, distribution, and maintenance CAPEX may remain estimated for portfolio prototype.",AKShare Sina financial statement interface,https://akshare.akfamily.xyz/,2023,verified,2026-06-25
A_BTG_HOTELS,2024,7751223528.97,1425,1110,3370866578.48,230,780,665,24885179791.5,13064669248.36,0.5249979850586607,0.23,mixed,"Selected financial fields are from public financial data; NOI, AFFO, distribution, and maintenance CAPEX may remain estimated for portfolio prototype.",AKShare Sina financial statement interface,https://akshare.akfamily.xyz/,2024,verified,2026-06-25
